AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'50,'1,166.15171228127264,158.49466060655365,165.38198211769392,157.85598586398703,110.0,110.0,220.0,205.0, -0.02,1,1,49,17.7,0,0,0
'50,'1,166.15171228127264,158.49466060655365,165.38198211769392,157.85598586398703,110.0,110.0,220.0,205.0, -0.02,1,1,49,17.7,0,0,0
'50,'1,166.15171228127264,158.49466060655365,165.38198211769392,157.85598586398703,110.0,110.0,220.0,205.0, -0.02,1,1,49,17.7,0,0,0
'50,'1,166.15171228127264,158.49466060655365,165.38198211769392,157.85598586398703,110.0,110.0,220.0,205.0, -0.02,1,1,49,17.7,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'50,'1,166.53012181437668,158.82146883968895,165.7593369078053,158.1840153784823,110.0,110.0,220.0,205.0, -0.021,1,1,49,17.6,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
'51,'2,166.9085313474807,159.14827707282424,166.1366916979167,158.51204489297754,110.0,110.0,220.0,205.0, -0.023,2,1,49,17.5,0,0,0
