AimAng1,AimAang2,Aimx,Aimy,GV.currentx1, GV.currenty1, GV.startx, GV.starty, GV.finishx, GV.finishy,dist, GV.Set_SteerAng, GV.Steerangle, GV.gogo,ToEndPoint
'-64,'-64,-249470.23210255892,4039224.2638379494,5857097.21,1117334.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.85,-64,0,0,775735.36
'-64,'-64,-249470.23210255892,4039224.2638379494,5857097.21,1117334.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.85,-64,0,0,775735.36
'-64,'-64,-249470.23210255892,4039224.2638379494,5857097.21,1117334.8,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.85,-64,0,0,775735.36
'-64,'-64,-249470.21322897595,4039224.3032826697,5857097.21,1117334.85,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.82,-64,0,0,775735.32
'-64,'-64,-249470.21263537768,4039224.3045232566,5857097.21,1117334.85,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.32
'-64,'-64,-249470.21263537768,4039224.3045232566,5857097.21,1117334.85,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.32
'-64,'-64,-249470.21263537768,4039224.3045232566,5857097.21,1117334.85,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.32
'-64,'-64,-249470.1981102812,4039224.3348798864,5857097.23,1117334.88,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.29
'-64,'-64,-249470.19722919178,4039224.3367213137,5857097.23,1117334.88,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.29
'-64,'-64,-249470.19722919178,4039224.3367213137,5857097.23,1117334.88,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.29
'-64,'-64,-249470.19722919178,4039224.3367213137,5857097.23,1117334.88,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.83,-64,0,0,775735.29
'-64,'-64,-249470.1796446098,4039224.373472095,5857097.22,1117334.93,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.8,-64,0,0,775735.25
'-64,'-64,-249470.17962494938,4039224.373513184,5857097.22,1117334.93,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.8,-64,0,0,775735.25
'-64,'-64,-249470.17962494938,4039224.373513184,5857097.22,1117334.93,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.8,-64,0,0,775735.25
'-64,'-64,-249470.17962494938,4039224.373513184,5857097.22,1117334.93,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.8,-64,0,0,775735.25
'-64,'-64,-249470.16117893875,4039224.4120643027,5857097.22,1117334.98,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.78,-64,0,0,775735.21
'-64,'-64,-249470.16015776814,4039224.4141984917,5857097.22,1117334.98,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.78,-64,0,0,775735.21
'-64,'-64,-249470.16015776814,4039224.4141984917,5857097.22,1117334.98,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.78,-64,0,0,775735.21
'-64,'-64,-249470.16015776814,4039224.4141984917,5857097.22,1117334.98,613475.016259474,5842731.00783932,613476.16735688,5842733.41356777, 6769608.78,-64,0,0,775735.21
