AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'-34,'-34,613512.9470709987,5842717.5816617925,613516.7105210527,5842711.948666236,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.7,-34,0,0,11.5,4
'-34,'-34,613512.9470709987,5842717.5816617925,613516.7105210527,5842711.948666236,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.7,-34,0,0,11.5,4
'-33,'-33,613512.8433446657,5842717.532722126,613516.7857227976,5842711.520493226,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.12,-33,0,0,11.3,4
'-33,'-33,613512.8433446657,5842717.532722126,613516.7857227976,5842711.520493226,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.12,-33,0,0,11.3,4
'-33,'-33,613512.8433446657,5842717.532722126,613516.7857227976,5842711.520493226,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.12,-33,0,0,11.3,4
'-33,'-33,613512.6699428863,5842717.45090852,613516.7517387813,5842711.143187348,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.45,-33,0,0,11.1,4
'-33,'-33,613512.6699428863,5842717.45090852,613516.7517387813,5842711.143187348,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.45,-33,0,0,11.1,4
'-33,'-33,613512.4095284701,5842717.3280410245,613516.6186769414,5842710.750399426,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.74,-33,0,0,10.8,4
'-33,'-33,613512.4095284701,5842717.3280410245,613516.6186769414,5842710.750399426,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.74,-33,0,0,10.8,4
'-33,'-33,613512.4095284701,5842717.3280410245,613516.6186769414,5842710.750399426,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.74,-33,0,0,10.8,4
'-32,'-32,613512.0701887327,5842717.167935358,613516.334602765,5842710.47315986,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.87,-32,0,0,10.4,4
'-32,'-32,613512.0701887327,5842717.167935358,613516.334602765,5842710.47315986,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.87,-32,0,0,10.4,4
'-32,'-32,613511.7455300466,5842717.014756436,613516.0537407929,5842710.227154958,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.98,-32,0,0,10.0,4
'-32,'-32,613511.7455300466,5842717.014756436,613516.0537407929,5842710.227154958,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.98,-32,0,0,10.0,4
'-32,'-32,613511.7455300466,5842717.014756436,613516.0537407929,5842710.227154958,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.98,-32,0,0,10.0,4
'-32,'-32,613511.3531488202,5842716.829624987,613515.6425979972,5842710.081788159,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.93,-32,0,0,9.6,4
'-32,'-32,613511.3531488202,5842716.829624987,613515.6425979972,5842710.081788159,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.93,-32,0,0,9.6,4
'-32,'-32,613511.3531488202,5842716.829624987,613515.2496807857,5842710.067420689,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.93,-32,0,0,9.3,4
'-33,'-33,613511.0262284438,5842716.675378965,613515.2496807857,5842710.067420689,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.78,-33,0,0,9.3,4
'-33,'-33,613511.0262284438,5842716.675378965,613515.2496807857,5842710.067420689,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.78,-33,0,0,9.3,4
'-33,'-33,613510.7492205064,5842716.544682394,613514.8982528568,5842710.094455327,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.6,-33,0,0,9.0,4
'-33,'-33,613510.7492205064,5842716.544682394,613514.8982528568,5842710.094455327,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.6,-33,0,0,9.0,4
'-33,'-33,613510.7492205064,5842716.544682394,613514.8982528568,5842710.094455327,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.6,-33,0,0,9.0,4
'-33,'-33,613510.4573911402,5842716.406992845,613514.4754965088,5842710.234262065,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.3,-33,0,0,8.7,4
'-33,'-33,613510.4573911402,5842716.406992845,613514.4754965088,5842710.234262065,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 7.3,-33,0,0,8.7,4
'-34,'-34,613510.4016656827,5842716.380700724,613514.2356888936,5842710.598127224,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.87,-34,0,0,8.7,4
'-34,'-34,613510.4016656827,5842716.380700724,613514.2356888936,5842710.598127224,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.87,-34,0,0,8.7,4
'-34,'-34,613510.4016656827,5842716.380700724,613514.2356888936,5842710.598127224,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.87,-34,0,0,8.7,4
'-34,'-34,613510.3121669114,5842716.338473839,613513.980140849,5842710.907837394,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.48,-34,0,0,8.6,4
'-34,'-34,613510.3121669114,5842716.338473839,613513.980140849,5842710.907837394,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.48,-34,0,0,8.6,4
'-35,'-35,613510.1820677173,5842716.277091053,613513.6500477418,5842711.270336434,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.01,-35,0,0,8.6,4
'-35,'-35,613510.1820677173,5842716.277091053,613513.6500477418,5842711.270336434,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.01,-35,0,0,8.6,4
'-35,'-35,613510.1820677173,5842716.277091053,613513.6500477418,5842711.270336434,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 6.01,-35,0,0,8.6,4
'-35,'-35,613510.0790301745,5842716.228476369,613513.3615952191,5842711.6147039095,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 5.57,-35,0,0,8.5,4
'-35,'-35,613510.0790301745,5842716.228476369,613513.3615952191,5842711.6147039095,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 5.57,-35,0,0,8.5,4
'-36,'-36,613509.9460940382,5842716.165755071,613513.0359480085,5842711.960428652,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 5.12,-36,0,0,8.4,4
'-36,'-36,613509.9460940382,5842716.165755071,613513.0359480085,5842711.960428652,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 5.12,-36,0,0,8.4,4
'-36,'-36,613509.9460940382,5842716.165755071,613513.0359480085,5842711.960428652,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 5.12,-36,0,0,8.4,4
'-37,'-37,613509.8499845273,5842716.120409138,613512.7444480654,5842712.329207588,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 4.66,-37,0,0,8.4,4
'-37,'-37,613509.8499845273,5842716.120409138,613512.7444480654,5842712.329207588,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 4.66,-37,0,0,8.4,4
'-39,'-39,613509.7430649356,5842716.069962842,613512.4436840771,5842712.68960938,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 4.21,-39,0,0,8.3,4
'-39,'-39,613509.7430649356,5842716.069962842,613512.4436840771,5842712.68960938,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 4.21,-39,0,0,8.3,4
'-39,'-39,613509.7430649356,5842716.069962842,613512.4436840771,5842712.68960938,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 4.21,-39,0,0,8.3,4
'-40,'-40,613509.6570701984,5842716.029389213,613512.1562795307,5842713.075918531,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 3.74,-40,0,0,8.3,4
'-40,'-40,613509.6570701984,5842716.029389213,613512.1562795307,5842713.075918531,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 3.74,-40,0,0,8.3,4
'-43,'-43,613509.549321946,5842715.978551944,613511.8137455649,5842713.522703391,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 3.19,-43,0,0,8.2,4
'-43,'-43,613509.549321946,5842715.978551944,613511.8137455649,5842713.522703391,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 3.19,-43,0,0,8.2,4
'-43,'-43,613509.549321946,5842715.978551944,613511.8137455649,5842713.522703391,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 3.19,-43,0,0,8.2,4
'-46,'-46,613509.4073013201,5842715.911544445,613511.4643888128,5842713.895139344,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.7,-46,0,0,8.2,4
'-46,'-46,613509.4073013201,5842715.911544445,613511.4643888128,5842713.895139344,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.7,-46,0,0,8.2,4
'-50,'-50,613509.299930829,5842715.86088541,613511.1303613563,5842714.32487377,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.17,-50,0,0,8.1,4
'-50,'-50,613509.299930829,5842715.86088541,613511.1303613563,5842714.32487377,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.17,-50,0,0,8.1,4
'-50,'-50,613509.299930829,5842715.86088541,613511.1303613563,5842714.32487377,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.17,-50,0,0,8.1,4
'-56,'-56,613509.165110257,5842715.797275006,613510.7779399074,5842714.722462688,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.66,-56,0,0,8.0,4
'-56,'-56,613509.165110257,5842715.797275006,613510.7779399074,5842714.722462688,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.66,-56,0,0,8.0,4
'-65,'-65,613509.0457295765,5842715.740949379,613510.4615009266,5842715.083796932,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.2,-65,0,0,8.0,4
'-65,'-65,613509.0457295765,5842715.740949379,613510.4615009266,5842715.083796932,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.2,-65,0,0,8.0,4
'-65,'-65,613509.0457295765,5842715.740949379,613510.4615009266,5842715.083796932,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.2,-65,0,0,8.0,4
'-79,'-79,613508.9062173998,5842715.675125406,613510.1260836279,5842715.433188699,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.74,-79,0,0,7.9,4
'-79,'-79,613508.9062173998,5842715.675125406,613510.1260836279,5842715.433188699,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.74,-79,0,0,7.9,4
'-79,'-79,613508.9062173998,5842715.675125406,613510.1260836279,5842715.433188699,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.74,-79,0,0,7.9,4
'-103,'-103,613508.7846009777,5842715.617744922,613509.7812338383,5842715.848945452,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.22,-103,0,0,7.8,4
'-103,'-103,613508.7846009777,5842715.617744922,613509.7812338383,5842715.848945452,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.22,-103,0,0,7.8,4
'-130,'-130,613508.7110028653,5842715.583020209,613509.5063101935,5842716.240924897,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.26,-130,0,0,7.8,4
'-130,'-130,613508.7110028653,5842715.583020209,613509.5063101935,5842716.240924897,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.26,-130,0,0,7.8,4
'-130,'-130,613508.7110028653,5842715.583020209,613509.5063101935,5842716.240924897,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.26,-130,0,0,7.8,4
'-150,'-150,613508.5899919181,5842715.525925398,613509.1967284281,5842716.583500963,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.7,-150,0,0,7.7,4
'-150,'-150,613508.5899919181,5842715.525925398,613509.1967284281,5842716.583500963,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.7,-150,0,0,7.7,4
'-165,'-165,613508.5336425086,5842715.499338887,613508.9318439232,5842716.998899087,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.19,-165,0,0,7.7,4
'-165,'-165,613508.5336425086,5842715.499338887,613508.9318439232,5842716.998899087,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.19,-165,0,0,7.7,4
'-165,'-165,613508.5336425086,5842715.499338887,613508.9318439232,5842716.998899087,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.19,-165,0,0,7.7,4
'-174,'-174,613508.5228060242,5842715.494226068,613508.7197472105,5842717.420352016,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.66,-174,0,0,7.8,4
'-174,'-174,613508.5228060242,5842715.494226068,613508.7197472105,5842717.420352016,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.66,-174,0,0,7.8,4
'-174,'-174,613508.5228060242,5842715.494226068,613508.7197472105,5842717.420352016,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.66,-174,0,0,7.8,4
'-180,'-180,613508.6346039579,5842715.54697404,613508.6474683858,5842717.8632458225,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.09,-180,0,0,7.9,4
'-180,'-180,613508.6346039579,5842715.54697404,613508.6474683858,5842717.8632458225,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.09,-180,0,0,7.9,4
'177,'177,613508.8671151325,5842715.6566763595,613508.7510285116,5842718.24625649,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.39,177,0,0,8.2,4
'177,'177,613508.8671151325,5842715.6566763595,613508.7510285116,5842718.24625649,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.39,177,0,0,8.2,4
'177,'177,613508.8671151325,5842715.6566763595,613508.7510285116,5842718.24625649,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.39,177,0,0,8.2,4
'175,'175,613509.1514692077,5842715.790838951,613508.9195321095,5842718.625961114,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.66,175,0,0,8.6,4
'175,'175,613509.1514692077,5842715.790838951,613508.9195321095,5842718.625961114,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.66,175,0,0,8.6,4
'175,'175,613509.5105772632,5842715.960271611,613509.2649042784,5842718.824506623,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.7,175,0,0,9.0,4
'175,'175,613509.5105772632,5842715.960271611,613509.2649042784,5842718.824506623,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.7,175,0,0,9.0,4
'175,'175,613509.5105772632,5842715.960271611,613509.2649042784,5842718.824506623,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.7,175,0,0,9.0,4
'176,'176,613509.864707751,5842716.127355779,613509.6622496473,5842718.89999799,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.59,176,0,0,9.4,4
'176,'176,613509.864707751,5842716.127355779,613509.6622496473,5842718.89999799,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.59,176,0,0,9.4,4
'177,'177,613510.1977496301,5842716.284490019,613510.0827372681,5842718.871793286,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.39,177,0,0,9.7,4
'177,'177,613510.1977496301,5842716.284490019,613510.0827372681,5842718.871793286,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.39,177,0,0,9.7,4
'-180,'-180,613510.5062051538,5842716.430024042,613510.520665904,5842718.742912462,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.09,-180,0,0,10.0,4
'-180,'-180,613510.5062051538,5842716.430024042,613510.520665904,5842718.742912462,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.09,-180,0,0,10.0,4
'-180,'-180,613510.5062051538,5842716.430024042,613510.520665904,5842718.742912462,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 2.09,-180,0,0,10.0,4
'-176,'-176,613510.7475434728,5842716.543891143,613510.8780363734,5842718.61085248,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.81,-176,0,0,10.2,4
'-176,'-176,613510.7475434728,5842716.543891143,613510.8780363734,5842718.61085248,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.81,-176,0,0,10.2,4
'-171,'-171,613510.9254911648,5842716.62784958,613511.2085189964,5842718.3715171525,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.46,-171,0,0,10.4,4
'-171,'-171,613510.9254911648,5842716.62784958,613511.2085189964,5842718.3715171525,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.46,-171,0,0,10.4,4
'-171,'-171,613510.9254911648,5842716.62784958,613511.2085189964,5842718.3715171525,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.46,-171,0,0,10.4,4
'-162,'-162,613511.1158404814,5842716.717659292,613511.5595383291,5842718.120791001,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.08,-162,0,0,10.5,4
'-162,'-162,613511.1158404814,5842716.717659292,613511.5595383291,5842718.120791001,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.08,-162,0,0,10.5,4
'-162,'-162,613511.1158404814,5842716.717659292,613511.5595383291,5842718.120791001,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 1.08,-162,0,0,10.5,4
'-149,'-149,613511.2145334237,5842716.764224128,613511.8341679786,5842717.794462626,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.67,-149,0,0,10.6,4
'-149,'-149,613511.2145334237,5842716.764224128,613511.8341679786,5842717.794462626,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.67,-149,0,0,10.6,4
'-129,'-129,613511.2236334858,5842716.768517676,613512.0256418177,5842717.412219763,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.24,-129,0,0,10.5,4
'-129,'-129,613511.2236334858,5842716.768517676,613512.0256418177,5842717.412219763,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.24,-129,0,0,10.5,4
'-129,'-129,613511.2236334858,5842716.768517676,613512.0256418177,5842717.412219763,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.24,-129,0,0,10.5,4
'-105,'-105,613511.0993377875,5842716.709873069,613512.0782197583,5842716.978696141,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.17,-105,0,0,10.3,4
'-105,'-105,613511.0993377875,5842716.709873069,613512.0782197583,5842716.978696141,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.17,-105,0,0,10.3,4
'-105,'-105,613511.0993377875,5842716.709873069,613512.0782197583,5842716.978696141,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.17,-105,0,0,10.3,4
'-88,'-88,613510.9076411448,5842716.619427668,613512.0296423348,5842716.584913329,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.51,-88,0,0,10.1,4
'-88,'-88,613510.9076411448,5842716.619427668,613512.0296423348,5842716.584913329,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.51,-88,0,0,10.1,4
'-78,'-78,613510.6024191569,5842716.475419276,613511.8294117723,5842716.21837838,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.76,-78,0,0,9.7,4
'-78,'-78,613510.6024191569,5842716.475419276,613511.8294117723,5842716.21837838,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.76,-78,0,0,9.7,4
'-78,'-78,613510.6024191569,5842716.475419276,613511.8294117723,5842716.21837838,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.76,-78,0,0,9.7,4
'-72,'-72,613510.2318062602,5842716.300558457,613511.5386793665,5842715.874212966,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.94,-72,0,0,9.3,4
'-72,'-72,613510.2318062602,5842716.300558457,613511.5386793665,5842715.874212966,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.94,-72,0,0,9.3,4
'-73,'-73,613509.9195272964,5842716.153220477,613511.2104676005,5842715.760644141,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.91,-73,0,0,9.0,4
'-73,'-73,613509.9195272964,5842716.153220477,613511.2104676005,5842715.760644141,613509.380306271,5842715.89880777,613502.543702749,5842712.67319391, 0.91,-73,0,0,9.0,4
