AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual
'-129,'-129,613510.4497058622,5842714.906766659,613554.0253927194,5842749.613142699,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.7,-129,0,0,11.4,4
'-129,'-129,613510.7277554101,5842714.5445027,613554.2518988985,5842749.211317503,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.63,-129,0,0,11.0,4
'-129,'-129,613510.7277554101,5842714.5445027,613554.2518988985,5842749.211317503,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.63,-129,0,0,11.0,4
'-129,'-129,613510.9943642416,5842714.19714457,613554.4946775276,5842748.845668906,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.6,-129,0,0,10.5,4
'-129,'-129,613510.9943642416,5842714.19714457,613554.4946775276,5842748.845668906,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.6,-129,0,0,10.5,4
'-129,'-129,613510.9943642416,5842714.19714457,613554.4946775276,5842748.845668906,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.6,-129,0,0,10.5,4
'-129,'-129,613511.2919272293,5842713.809457027,613554.7672483171,5842748.438799026,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.57,-129,0,0,10.1,4
'-129,'-129,613511.2919272293,5842713.809457027,613554.7672483171,5842748.438799026,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.57,-129,0,0,10.1,4
'-129,'-129,613511.5742209443,5842713.441663447,613555.0135379494,5842748.043371123,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.53,-129,0,0,9.6,4
'-129,'-129,613511.5742209443,5842713.441663447,613555.0135379494,5842748.043371123,613492.197131935,5842738.68759906,613509.606403948,5842716.00548411, 55.53,-129,0,0,9.6,4
