AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,Currentx1,Ccurrenty1
'164,'164,613516.931523373,5842717.54793478,613516.635852897,5842718.58541102,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,12.3,4,613516.635852897,5842718.58541102
'164,'164,613517.202545005,5842717.2002926,613516.90747848,5842718.23823968,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,11.9,4,613516.90747848,5842718.23823968
'164,'164,613517.202545005,5842717.2002926,613516.90747848,5842718.23823968,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,11.9,4,613516.90747848,5842718.23823968
'165,'165,613517.481288334,5842716.84274573,613517.204575896,5842717.89500164,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,11.4,4,613517.204575896,5842717.89500164
'165,'165,613517.481288334,5842716.84274573,613517.204575896,5842717.89500164,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,11.4,4,613517.204575896,5842717.89500164
'165,'165,613517.481288334,5842716.84274573,613517.204575896,5842717.89500164,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,11.4,4,613517.204575896,5842717.89500164
'165,'165,613517.777132001,5842716.46326407,613517.501707862,5842717.51652435,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,11,4,613517.501707862,5842717.51652435
'165,'165,613517.777132001,5842716.46326407,613517.501707862,5842717.51652435,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,11,4,613517.501707862,5842717.51652435
'165,'165,613518.032616538,5842716.13555149,613517.759658352,5842717.19073421,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,10.6,4,613517.759658352,5842717.19073421
'165,'165,613518.032616538,5842716.13555149,613517.759658352,5842717.19073421,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,10.6,4,613517.759658352,5842717.19073421
'165,'165,613518.032616538,5842716.13555149,613517.759658352,5842717.19073421,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.43,165,0,0,10.6,4,613517.759658352,5842717.19073421
'164,'164,613518.285797224,5842715.81079407,613517.986310197,5842716.84529493,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,10.2,4,613517.986310197,5842716.84529493
'164,'164,613518.285797224,5842715.81079407,613517.986310197,5842716.84529493,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,10.2,4,613517.986310197,5842716.84529493
'166,'166,613518.568606814,5842715.44803136,613518.304061418,5842716.50977269,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.44,166,0,0,9.7,4,613518.304061418,5842716.50977269
'166,'166,613518.568606814,5842715.44803136,613518.304061418,5842716.50977269,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.44,166,0,0,9.7,4,613518.304061418,5842716.50977269
'166,'166,613518.568606814,5842715.44803136,613518.304061418,5842716.50977269,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.44,166,0,0,9.7,4,613518.304061418,5842716.50977269
'164,'164,613518.865719565,5842715.06692184,613518.57448792,5842716.10785859,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,9.3,4,613518.57448792,5842716.10785859
'164,'164,613518.865719565,5842715.06692184,613518.57448792,5842716.10785859,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,9.3,4,613518.57448792,5842716.10785859
'164,'164,613518.865719565,5842715.06692184,613518.57448792,5842716.10785859,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,9.3,4,613518.57448792,5842716.10785859
'165,'165,613519.125887823,5842714.73320139,613518.841287005,5842715.77930753,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.42,165,0,0,8.8,4,613518.841287005,5842715.77930753
'165,'165,613519.125887823,5842714.73320139,613518.841287005,5842715.77930753,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.42,165,0,0,8.8,4,613518.841287005,5842715.77930753
'164,'164,613519.364981234,5842714.42651386,613519.070480206,5842715.4649018,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,8.5,4,613519.070480206,5842715.4649018
'164,'164,613519.364981234,5842714.42651386,613519.070480206,5842715.4649018,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,8.5,4,613519.070480206,5842715.4649018
'164,'164,613519.364981234,5842714.42651386,613519.070480206,5842715.4649018,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.41,164,0,0,8.5,4,613519.070480206,5842715.4649018
'162,'162,613519.639644426,5842714.07420062,613519.31230524,5842715.08698795,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,8,4,613519.31230524,5842715.08698795
'162,'162,613519.639644426,5842714.07420062,613519.31230524,5842715.08698795,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,8,4,613519.31230524,5842715.08698795
'162,'162,613519.639644426,5842714.07420062,613519.31230524,5842715.08698795,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,8,4,613519.31230524,5842715.08698795
'162,'162,613519.841535279,5842713.81523319,613519.507000906,5842714.82241116,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,7.7,4,613519.507000906,5842714.82241116
'162,'162,613519.841535279,5842713.81523319,613519.507000906,5842714.82241116,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.36,162,0,0,7.7,4,613519.507000906,5842714.82241116
'163,'163,613519.965654122,5842713.6560247,613519.656874571,5842714.68328111,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.5,4,613519.656874571,5842714.68328111
'163,'163,613519.965654122,5842713.6560247,613519.656874571,5842714.68328111,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.5,4,613519.656874571,5842714.68328111
'163,'163,613519.965654122,5842713.6560247,613519.656874571,5842714.68328111,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.5,4,613519.656874571,5842714.68328111
'163,'163,613520.069785703,5842713.52245407,613519.761562225,5842714.550144,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.761562225,5842714.550144
'163,'163,613520.069785703,5842713.52245407,613519.761562225,5842714.550144,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,163,0,0,7.3,4,613519.761562225,5842714.550144
'164,'164,613520.121025076,5842713.45672881,613519.816189609,5842714.48706003,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.816189609,5842714.48706003
'164,'164,613520.121025076,5842713.45672881,613519.816189609,5842714.48706003,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.816189609,5842714.48706003
'164,'164,613520.121025076,5842713.45672881,613519.816189609,5842714.48706003,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.816189609,5842714.48706003
'164,'164,613520.113181141,5842713.46679031,613519.809514333,5842714.49803261,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.809514333,5842714.49803261
'164,'164,613520.113181141,5842713.46679031,613519.809514333,5842714.49803261,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.809514333,5842714.49803261
'164,'164,613520.113181141,5842713.46679031,613519.809514333,5842714.49803261,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.809514333,5842714.49803261
'164,'164,613520.113881022,5842713.46589256,613519.809215627,5842714.49635637,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.809215627,5842714.49635637
'164,'164,613520.113881022,5842713.46589256,613519.809215627,5842714.49635637,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.809215627,5842714.49635637
'164,'164,613520.112601478,5842713.46753384,613519.811367151,5842714.50067251,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,7.3,4,613519.811367151,5842714.50067251
'164,'164,613520.112601478,5842713.46753384,613519.811367151,5842714.50067251,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,7.3,4,613519.811367151,5842714.50067251
'164,'164,613520.112601478,5842713.46753384,613519.811367151,5842714.50067251,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.4,164,0,0,7.3,4,613519.811367151,5842714.50067251
'164,'164,613520.112571013,5842713.46757292,613519.807605246,5842714.49780256,613496.905537372,5842743.23546881,613524.050307603,5842708.41659852,0.39,164,0,0,7.3,4,613519.807605246,5842714.49780256
