Currentx,CurrentY
613530.192890849,5842712.63054071
613530.192890849,5842712.63054071
613530.193133272,5842712.62980448
613530.193133272,5842712.62980448
613530.193133272,5842712.62980448
613530.191916824,5842712.6288487
613530.191916824,5842712.6288487
613530.191916824,5842712.6288487
613530.192860547,5842712.63183832
613530.192860547,5842712.63183832
613530.194232838,5842712.630943
613530.194232838,5842712.630943
613530.194232838,5842712.630943
613530.19254453,5842712.63090358
613530.19254453,5842712.63090358
613530.192496908,5842712.62812035
613530.192496908,5842712.62812035
613530.192548859,5842712.6307182
613530.192548859,5842712.6307182
613530.192548859,5842712.6307182
613530.192440634,5842712.6305302
613530.192440634,5842712.6305302
613530.192916822,5842712.62942848
613530.192916822,5842712.62942848
613530.192916822,5842712.62942848
613530.192470936,5842712.62923259
613530.192470936,5842712.62923259
613530.192470936,5842712.62923259
613530.193414659,5842712.63222221
613530.193414659,5842712.63222221
613530.193427646,5842712.63166609
613530.193427646,5842712.63166609
613530.193427646,5842712.63166609
613530.193038034,5842712.62906036
613530.193038034,5842712.62906036
613530.193224182,5842712.63073397
613530.193224182,5842712.63073397
613530.193224182,5842712.63073397
613530.191652756,5842712.6305118
613530.191652756,5842712.6305118
613530.191652756,5842712.6305118
613530.192159247,5842712.62811247
613530.192159247,5842712.62811247
613530.191778297,5842712.62995831
613530.191778297,5842712.62995831
613530.191397343,5842712.62698183
613530.191397343,5842712.62698183
613530.191397343,5842712.62698183
613530.193709028,5842712.6292615
613530.193709028,5842712.6292615
613530.191319424,5842712.63031854
613530.191319424,5842712.63031854
613530.191319424,5842712.63031854
613530.192141931,5842712.62885396
613530.192141931,5842712.62885396
613530.192652755,5842712.63109158
613530.192652755,5842712.63109158
613530.192652755,5842712.63109158
613530.193345394,5842712.63036585
613530.193345394,5842712.63036585
613530.191293451,5842712.63143078
613530.191293451,5842712.63143078
613530.191293451,5842712.63143078
613530.192825913,5842712.62849898
613530.192825913,5842712.62849898
613530.194146258,5842712.62982813
613530.194146258,5842712.62982813
613530.194146258,5842712.62982813
613530.192756651,5842712.63146495
613530.192756651,5842712.63146495
613530.190795613,5842712.62863705
613530.190795613,5842712.62863705
613530.190795613,5842712.62863705
613530.191882193,5842712.63033169
613530.191882193,5842712.63033169
613530.192120287,5842712.62978082
613530.192120287,5842712.62978082
613530.192120287,5842712.62978082
613530.192323751,5842712.63071294
613530.192323751,5842712.63071294
613530.192869205,5842712.63146758
613530.192869205,5842712.63146758
613530.192869205,5842712.63146758
613530.192994745,5842712.63091409
613530.192994745,5842712.63091409
613530.190674402,5842712.62900516
613530.190674402,5842712.62900516
613530.190674402,5842712.62900516
613530.191808599,5842712.6286607
613530.191808599,5842712.6286607
613530.191916819,5842712.62402638
613530.191916819,5842712.62402638
613530.191916819,5842712.62402638
613530.190375695,5842712.62250659
613530.190375695,5842712.62250659
613530.192795606,5842712.62497427
613530.192795606,5842712.62497427
613530.192795606,5842712.62497427
613530.188773968,5842712.62358204
613530.188773968,5842712.62358204
613530.192747989,5842712.62701337
613530.192747989,5842712.62701337
613530.192747989,5842712.62701337
613530.191864873,5842712.62625085
613530.191864873,5842712.62625085
613530.189180891,5842712.62062395
613530.189180891,5842712.62062395
613530.189180891,5842712.62062395
613530.161245866,5842712.60643201
613530.161245866,5842712.60643201
613530.161245866,5842712.60643201
613530.002562124,5842712.53929429
613530.002562124,5842712.53929429
613529.846895675,5842712.45868743
613529.846895675,5842712.45868743
613529.846895675,5842712.45868743
613529.712151261,5842712.37912556
613529.712151261,5842712.37912556
613529.670259545,5842712.35978538
613529.670259545,5842712.35978538
613529.670259545,5842712.35978538
613529.739432613,5842712.3971972
613529.739432613,5842712.3971972
613529.739432613,5842712.3971972
613529.724675056,5842712.38776435
613529.724675056,5842712.38776435
613529.665164317,5842712.36096471
613529.665164317,5842712.36096471
613529.669164307,5842712.35846149
613529.669164307,5842712.35846149
613529.669164307,5842712.35846149
613529.659194627,5842712.35618846
