latitude(deg)  longitude(deg)
latitude(deg)  longitude(deg)
52.722428186  -7.319251181
52.722430303  -7.319251928
52.722430304  -7.319251928
52.722430304  -7.319251928
52.722430304  -7.319251929
52.722430304  -7.319251929
52.722430304  -7.319251929
52.722430304  -7.319251929
52.722430304  -7.319251929
52.722430304  -7.31925193
52.722430304  -7.31925193
52.722430304  -7.31925193
52.722430304  -7.31925193
52.722430305  -7.31925193
52.722430305  -7.319251931
52.722430305  -7.319251931
52.722430305  -7.319251931
52.722430305  -7.319251931
52.722430305  -7.319251931
52.722430304  -7.319251932
52.722430305  -7.319251932
52.722430305  -7.319251932
52.722430305  -7.319251932
52.722430305  -7.319251933
52.722430305  -7.319251933
52.722430305  -7.319251933
52.722430305  -7.319251933
52.722430305  -7.319251933
52.722430305  -7.319251934
52.722430305  -7.319251934
52.722430305  -7.319251934
52.722430304  -7.319251934
52.722430304  -7.319251934
52.722430304  -7.319251934
52.722430304  -7.319251935
52.722430304  -7.319251935
52.722430305  -7.319251935
52.722430305  -7.319251935
52.722430305  -7.319251935
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430305  -7.319251936
52.722430304  -7.319251937
52.722430306  -7.319251939
52.722427484  -7.319253977
52.722425375  -7.319259267
52.722422172  -7.319267237
52.72241788  -7.319277809
52.722412557  -7.319290792
52.722406155  -7.319305533
52.722398767  -7.319324089
52.722390148  -7.319344555
52.722380855  -7.319367337
52.722376132  -7.3193818
52.722371645  -7.319397174
52.722366927  -7.319413461
52.722362791  -7.319428483
52.722359709  -7.319444816
52.722355771  -7.319462152
52.722351493  -7.319480679
52.722346977  -7.319500429
52.722346953  -7.31950026
52.722346974  -7.319500069
52.722347041  -7.319499951
52.722347077  -7.319499847
52.722347061  -7.319499757
52.722346973  -7.319499687
52.722346801  -7.319499606
52.722346571  -7.319499676
52.722346693  -7.319499526
52.722346784  -7.319499382
52.722346845  -7.319499267
52.722346872  -7.319499107
52.722346834  -7.319498948
52.722346815  -7.31949892
52.722346793  -7.319499031
52.722346845  -7.319499144
52.722346857  -7.319499291
52.722346838  -7.319499506
52.722346776  -7.319499755
52.722346621  -7.319500038
52.722346428  -7.319500364
52.722346417  -7.319500231
52.722346189  -7.319500623
52.722345963  -7.31950101
52.722345764  -7.319501368
52.722345483  -7.31950177
52.72234518  -7.319502333
52.722345293  -7.319502273
52.722345359  -7.31950228
52.722345483  -7.319502312
52.722345603  -7.319502381
52.722345718  -7.31950246
52.722345833  -7.319502483
52.722345987  -7.31950246
52.722346188  -7.319502452
52.722346473  -7.319502405
52.722346709  -7.319502317
52.722347016  -7.319502189
52.722347183  -7.319502426
52.722347117  -7.319502926
52.72234766  -7.31950302
52.722348032  -7.3195034
52.722348567  -7.319503852
52.722349276  -7.319504356
52.72234966  -7.319504546
52.722350122  -7.319504744
52.722350721  -7.319505026
52.722351468  -7.319505333
52.722352398  -7.319505668
52.722353313  -7.319505923
52.722353375  -7.319505769
52.722353455  -7.319505618
52.722353599  -7.319505467
52.722353694  -7.31950542
52.722353767  -7.319505338
52.722353855  -7.319505433
52.722353895  -7.319505192
52.72235393  -7.319505025
52.722353986  -7.319504852
52.722354036  -7.319504687
52.722354086  -7.319504529
52.722354085  -7.319504367
52.722354146  -7.319504168
52.722354198  -7.319503989
52.722354249  -7.319503808
52.722354302  -7.319503625
52.722354357  -7.319503441
52.722354411  -7.319503261
52.722354489  -7.319503068
52.722354565  -7.319502893
52.722354641  -7.319502713
52.722354717  -7.319502536
52.722354794  -7.319502361
52.722354871  -7.319502184
52.722354948  -7.319502006
52.722355026  -7.31950183
52.722355105  -7.319501654
52.722355185  -7.319501478
52.722355264  -7.3195013
52.722355347  -7.319501117
52.722355431  -7.31950093
52.722355514  -7.319500749
52.722355596  -7.319500565
52.722355679  -7.319500381
52.722355761  -7.319500191
52.722355844  -7.319499994
52.722355935  -7.319499802
52.722356026  -7.319499606
52.722356115  -7.319499405
52.722356212  -7.319499205
52.722356314  -7.319499006
52.72235642  -7.319498798
52.722356524  -7.31949859
52.722356632  -7.31949838
52.722356743  -7.319498167
52.722356855  -7.31949795
52.722356968  -7.319497731
52.722357083  -7.319497503
52.722357201  -7.31949727
52.722357321  -7.319497031
52.722357449  -7.319496786
52.722357577  -7.319496544
52.722357704  -7.319496297
52.72235783  -7.319496038
52.722357966  -7.319495779
52.722358099  -7.319495514
52.722358242  -7.319495238
52.72235838  -7.319494959
52.722358524  -7.319494671
52.722358674  -7.319494384
52.722358827  -7.319494088
52.722358983  -7.319493792
52.722359144  -7.319493493
52.722359303  -7.319493188
52.722359463  -7.319492878
52.722359627  -7.319492565
52.722359796  -7.319492248
52.722359961  -7.319491929
52.722360128  -7.319491609
52.722360299  -7.319491286
52.722360476  -7.319490958
52.722360653  -7.319490619
52.722360838  -7.31949028
52.722361027  -7.319489934
52.72236121  -7.319489586
52.722361404  -7.319489229
52.722361596  -7.319488875
52.722361798  -7.319488515
52.722362003  -7.319488153
52.722362203  -7.319487785
52.722362416  -7.319487418
52.72236263  -7.319487048
52.722362843  -7.319486677
52.722363071  -7.319486298
52.722363291  -7.31948591
52.722363522  -7.319485519
52.722363759  -7.319485125
52.722363996  -7.319484723
52.722364239  -7.31948432
52.722364476  -7.31948391
52.722364724  -7.319483505
52.722364973  -7.319483089
52.722365215  -7.319482678
52.722365468  -7.319482264
52.722365712  -7.319481874
52.72236598  -7.319481449
52.72236626  -7.319481017
52.722366528  -7.319480591
52.722366802  -7.319480169
52.72236709  -7.319479727
52.722367382  -7.319479269
52.72236768  -7.319478821
52.722367981  -7.319478365
52.722368294  -7.319477907
52.722368604  -7.31947744
52.722368919  -7.319476965
52.722369241  -7.319476487
52.722369563  -7.319476009
52.72236989  -7.319475519
52.72237022  -7.319475028
52.722370552  -7.319474524
52.722370896  -7.31947402
52.722371246  -7.319473502
52.722371599  -7.319472987
