Aimx,Aimy,Currentx1,Currenty1,Startx,Starty,Finishx,Finishy,dist,ss
613493.557009999,5842731.91768032,613493.147046434,5842732.85973722,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.24,0
613493.557009999,5842731.91768032,613493.147046434,5842732.85973722,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.24,0
613493.723483756,5842731.69497779,613493.070892053,5842732.45566622,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613493.982185967,5842731.34889539,613493.122008789,5842731.95441031,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.33,0
613493.982185967,5842731.34889539,613493.122008789,5842731.95441031,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.33,0
613494.266857883,5842730.96807166,613493.29733722,5842731.49185055,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.46,0
613494.266857883,5842730.96807166,613493.29733722,5842731.49185055,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.46,0
613494.550244538,5842730.58896731,613493.56757048,5842731.10291383,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.48,0
613494.550244538,5842730.58896731,613493.56757048,5842731.10291383,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.48,0
613494.701571385,5842730.38652777,613493.71006575,5842730.89387253,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.49,0
613494.954406356,5842730.04829435,613494.109000914,5842730.66485138,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.31,0
613495.212323933,5842729.7032616,613494.549464174,5842730.45627449,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.08,0
613495.212323933,5842729.7032616,613494.549464174,5842730.45627449,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.08,0
613495.463188736,5842729.3676638,613494.915321521,5842730.20663548,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.06,0
613495.463188736,5842729.3676638,613494.915321521,5842730.20663548,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.06,0
613495.698771173,5842729.05251019,613495.158031951,5842729.89681017,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613495.698771173,5842729.05251019,613495.158031951,5842729.89681017,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.07,0
613495.942008702,5842728.72711588,613495.341339677,5842729.52661736,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0,0
613496.196321746,5842728.38690515,613495.517097462,5842729.1276853,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.1,0
613496.196321746,5842728.38690515,613495.517097462,5842729.1276853,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.1,0
613496.196321746,5842728.38690515,613495.517097462,5842729.1276853,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.1,0
613496.196321746,5842728.38690515,613495.517097462,5842729.1276853,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.1,0
613496.819265866,5842727.55355319,613496.123009634,5842728.28160167,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.12,0
613496.819265866,5842727.55355319,613496.123009634,5842728.28160167,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.12,0
613497.054986621,5842727.23821454,613496.337945327,5842727.95072586,613489.937977978,5842736.7590896,613507.615761418,5842713.1103945,0.15,0
