AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,ToEndPoint,GVQual
'97,'97,613513.042043907,5842711.4270389,613505.918989486,5842712.24070003,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.2,4
'97,'97,613513.042043907,5842711.4270389,613505.918989486,5842712.24070003,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.2,4
'97,'97,613513.042043907,5842711.4270389,613505.918989486,5842712.24070003,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.2,4
'97,'97,613513.042043907,5842711.4270389,613505.918989486,5842712.24070003,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.2,4
'97,'97,613513.075879844,5842711.41539112,613505.963578255,5842712.26028845,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.075879844,5842711.41539112,613505.963578255,5842712.26028845,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.075879844,5842711.41539112,613505.963578255,5842712.26028845,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.075879844,5842711.41539112,613505.963578255,5842712.26028845,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.10971578,5842711.40374335,613506.008167024,5842712.27987687,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.10971578,5842711.40374335,613506.008167024,5842712.27987687,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.10971578,5842711.40374335,613506.008167024,5842712.27987687,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.10971578,5842711.40374335,613506.008167024,5842712.27987687,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.159625924,5842711.38656214,613506.064443974,5842712.28119077,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.159625924,5842711.38656214,613506.064443974,5842712.28119077,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.159625924,5842711.38656214,613506.064443974,5842712.28119077,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.5,97,0,0,3.1,4
'97,'97,613513.209536069,5842711.36938094,613506.120720923,5842712.28250467,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,97,0,0,3,4
'97,'97,613513.209536069,5842711.36938094,613506.120720923,5842712.28250467,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,97,0,0,3,4
'97,'97,613513.209536069,5842711.36938094,613506.120720923,5842712.28250467,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,97,0,0,3,4
'97,'97,613513.209536069,5842711.36938094,613506.120720923,5842712.28250467,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,97,0,0,3,4
'98,'98,613513.253354032,5842711.35429692,613506.176565081,5842712.30235587,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,3,4
'98,'98,613513.253354032,5842711.35429692,613506.176565081,5842712.30235587,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,3,4
'98,'98,613513.253354032,5842711.35429692,613506.176565081,5842712.30235587,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,3,4
'98,'98,613513.253354032,5842711.35429692,613506.176565081,5842712.30235587,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,3,4
'98,'98,613513.303264176,5842711.33711572,613506.232842031,5842712.30366977,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,2.9,4
'98,'98,613513.303264176,5842711.33711572,613506.232842031,5842712.30366977,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,2.9,4
'98,'98,613513.303264176,5842711.33711572,613506.232842031,5842712.30366977,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,2.9,4
'98,'98,613513.303264176,5842711.33711572,613506.232842031,5842712.30366977,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.4,98,0,0,2.9,4
'98,'98,613513.357064167,5842711.31859546,613506.299941578,5842712.32378375,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.9,4
'98,'98,613513.357064167,5842711.31859546,613506.299941578,5842712.32378375,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.9,4
'98,'98,613513.357064167,5842711.31859546,613506.299941578,5842712.32378375,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.9,4
'98,'98,613513.357064167,5842711.31859546,613506.299941578,5842712.32378375,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.9,4
'98,'98,613513.410864158,5842711.30007521,613506.367041125,5842712.34389774,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.8,4
'98,'98,613513.410864158,5842711.30007521,613506.367041125,5842712.34389774,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,98,0,0,2.8,4
'99,'99,613513.4607743,5842711.282894,613506.423318073,5842712.34521164,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.4607743,5842711.282894,613506.423318073,5842712.34521164,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.4607743,5842711.282894,613506.423318073,5842712.34521164,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.4607743,5842711.282894,613506.423318073,5842712.34521164,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.494610233,5842711.27124623,613506.46790684,5842712.36480006,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.494610233,5842711.27124623,613506.46790684,5842712.36480006,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.494610233,5842711.27124623,613506.46790684,5842712.36480006,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.494610233,5842711.27124623,613506.46790684,5842712.36480006,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.3,99,0,0,2.8,4
'99,'99,613513.514574289,5842711.26437375,613506.49041762,5842712.36532563,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.8,4
'99,'99,613513.514574289,5842711.26437375,613506.49041762,5842712.36532563,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.8,4
'99,'99,613513.514574289,5842711.26437375,613506.49041762,5842712.36532563,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.8,4
'99,'99,613513.514574289,5842711.26437375,613506.49041762,5842712.36532563,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.8,4
'99,'99,613513.538428192,5842711.25616221,613506.523750996,5842712.38465127,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.538428192,5842711.25616221,613506.523750996,5842712.38465127,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
'99,'99,613513.538428192,5842711.25616221,613506.523750996,5842712.38465127,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1.2,99,0,0,2.7,4
